央视高码,#genre#
CGTN纪录,http://127.0.0.1:35456/gaoma/cgtndoc.m3u8
CGTN阿语,http://127.0.0.1:35456/gaoma/cgtnar.m3u8
CGTN俄语,http://127.0.0.1:35456/gaoma/cgtnru.m3u8
CGTN法语,http://127.0.0.1:35456/gaoma/cgtnfr.m3u8
CGTN西语,http://127.0.0.1:35456/gaoma/cgtnsp.m3u8

CHC动作电影,https://gdcucc.v1.mk/gdcucc/chcdzdy.m3u8
CHC家庭影院,https://gdcucc.v1.mk/gdcucc/chcjtyy.m3u8
CHC影迷电影,https://gdcucc.v1.mk/gdcucc/chcymdy.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8

卫视频道,#genre#
贵州卫视,http://127.0.0.1:35456/itv/5000000004000025843.m3u8?cdn=bestzb
湖南卫视,http://127.0.0.1:35456/itv/6000000001000018044.m3u8?cdn=wasusyt$ITV 50FPS
江苏卫视,http://127.0.0.1:35456/itv/6000000001000014861.m3u8?cdn=wasusyt$ITV 50FPS
湖南卫视,http://127.0.0.1:35456/itv/1000000005000265024.m3u8?cdn=ystenlive$ITV HEVC
江苏卫视,http://127.0.0.1:35456/itv/1000000005000265030.m3u8?cdn=ystenlive$ITV HEVC
北京卫视,http://127.0.0.1:35456/itv/1000000005000265027.m3u8?cdn=ystenlive$ITV HEVC
东方卫视,http://127.0.0.1:35456/itv/5000000004000014098.m3u8?cdn=bestzb$ITV 50FPS
安徽卫视,http://127.0.0.1:35456/itv/1000000005000265025.m3u8?cdn=ystenlive$ITV HEVC
东南卫视,http://127.0.0.1:35456/itv/1000000005000265033.m3u8?cdn=ystenlive$ITV HEVC
广东卫视,http://127.0.0.1:35456/itv/1000000005000265034.m3u8?cdn=ystenlive$ITV HEVC
黑龙江卫视,http://127.0.0.1:35456/itv/1000000005000265029.m3u8?cdn=ystenlive$ITV HEVC
湖北卫视,http://127.0.0.1:35456/itv/1000000005000265023.m3u8?cdn=ystenlive$ITV HEVC
江西卫视,http://127.0.0.1:35456/itv/1000000005000265032.m3u8?cdn=ystenlive$ITV HEVC
辽宁卫视,http://127.0.0.1:35456/itv/1000000005000265022.m3u8?cdn=ystenlive$ITV HEVC
山东卫视,http://127.0.0.1:35456/itv/1000000005000265019.m3u8?cdn=ystenlive$ITV HEVC
深圳卫视,http://127.0.0.1:35456/itv/1000000005000265028.m3u8?cdn=ystenlive$ITV HEVC
天津卫视,http://127.0.0.1:35456/itv/1000000005000265026.m3u8?cdn=ystenlive$ITV HEVC
浙江卫视,http://127.0.0.1:35456/itv/1000000005000265031.m3u8?cdn=ystenlive$ITV HEVC
重庆卫视,http://127.0.0.1:35456/itv/1000000005000265017.m3u8?cdn=ystenlive$ITV HEVC

安徽卫视,http://127.0.0.1:35456/itv/6000000001000009954.m3u8?cdn=wasusyt$ITV 50FPS
广东卫视,http://127.0.0.1:35456/itv/6000000001000031076.m3u8?cdn=wasusyt$ITV 50FPS
黑龙江卫视,http://127.0.0.1:35456/itv/6000000001000016510.m3u8?cdn=wasusyt$ITV 50FPS
湖北卫视,http://127.0.0.1:35456/itv/6000000001000015436.m3u8?cdn=wasusyt$ITV 50FPS
山东卫视,http://127.0.0.1:35456/itv/6000000001000004134.m3u8?cdn=wasusyt$ITV 50FPS
深圳卫视,http://127.0.0.1:35456/itv/6000000001000002116.m3u8?cdn=wasusyt$ITV 50FPS
天津卫视,http://127.0.0.1:35456/itv/6000000001000009186.m3u8?cdn=wasusyt$ITV 50FPS
浙江卫视,http://127.0.0.1:35456/itv/5000000004000007275.m3u8?cdn=bestzb$ITV 50FPS

北京卫视,http://127.0.0.1:35456/itv/6000000001000020451.m3u8?cdn=wasusyt
安徽卫视,http://127.0.0.1:35456/itv/1000000001000030159.m3u8?cdn=ystenlive
东南卫视,http://127.0.0.1:35456/itv/5000000004000010584.m3u8?cdn=bestzb
甘肃卫视,http://127.0.0.1:35456/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://127.0.0.1:35456/itv/1000000001000014176.m3u8?cdn=ystenlive
广西卫视,http://127.0.0.1:35456/itv/5000000011000031118.m3u8?cdn=bestzb
海南卫视,http://127.0.0.1:35456/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://127.0.0.1:35456/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://127.0.0.1:35456/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://127.0.0.1:35456/itv/1000000001000001925.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35456/itv/1000000001000024621.m3u8?cdn=ystenlive
湖南卫视,http://127.0.0.1:35456/itv/5000000004000006692.m3u8?cdn=bestzb
吉林卫视,http://127.0.0.1:35456/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://127.0.0.1:35456/itv/1000000001000001828.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35456/itv/1000000006000268001.m3u8?cdn=ystenlive
辽宁卫视,http://127.0.0.1:35456/itv/5000000004000011671.m3u8?cdn=bestzb
青海卫视,http://127.0.0.1:35456/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1:35456/itv/1000000001000016568.m3u8?cdn=ystenlive
东方卫视,http://127.0.0.1:35456/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://127.0.0.1:35456/itv/1000000005000265018.m3u8?cdn=ystenlive$ITV HEVC
